generation, fitness, rule
35, 5.800100, 000342626135321036024125655640303266601244422051453335232340105252520002653415326605541653605330121651612263311230012065216445415213635542650634511151503663425240256250064164334562441451344411446460232624402456154540020323604110363623110526114
36, 6.000100, 140060406660321036024121002600302515453654222051401255222354264432462362561136350042103533605314403446456654652201166530216060054555501521161431446351500663425240256250564120445042441451331143446436230604011256454510426256642512431112050336201
37, 5.400100, 220342626135321036024126002640302515403654222053453335420652364432432362561425121121451531005330161651612243341230012065216345445213635542650634511151503663455240256250264120445042441451331143446460464604011256454540426254621512432112050306612
38, 5.900100, 320343626135361346324122002640302515453654222051453335232340105352510002653465100022203132624461403346156654662201160032306062054555501542650634511151503663425140256250064164334562441453344451446460232624402456154540020323621012046663026632060
39, 6.850100, 332255266305121036024126006640302515453654222053601255222354246514400002653415026605541653205330121651612263311230015065216345415213635542650634511151503663425240256250064140445042440451331143646460230604011256454141425253601110432112050306612
40, 5.700100, 320342626135321036024126002610302515053654222051453335232340103352565622653415565406102230605330121651612200622066036032306060054555501521161431446351500663425240255250564120446042441451331143446460231604011256454540023423604110363623110626116
41, 5.800100, 220342626135304035024124002640325351156144030051453335232340105252520002653415326605341653605330121651612263311230012065306062054555501542650634511151503663425140256250063164334562441453344451446460232624402456154540020333621012046163026632060
42, 6.600100, 320342626115321036024126002610302515053654222051453335232340103352565622653421565306202645605330121651612463311230012065216345415213635542650634546351500663424240256250064120445042440451331153446460233204321256154540020323601110432112050306612
43, 6.900100, 332255266135321036024424001640302515453654222051453335232340103352565622653421565306202645605330121651612463311230012065216345415213635542650634546351500663424240256250064120445042440451331153446460233204321256154540023323601110432112050306612
44, 6.600100, 332255266135321036024424001640302515453654222051453335232340103352565622653421565306202645605330121651612463311230012065216345415213635542650634546351500663424240256250064120445042440451331153446460233204321256154540023323601110432112050306612
45, 7.750100, 420340626135361136524126002645302515453654222051453335232142105352520002653415565426456423202330121651612263311230015065216345415213635542650634511153513663425240256250064140425042440251331143646460233204321256154540023323601110432112050306612
46, 6.200100, 332255266135321036024424002640302515453654222054221402230340105352520042653413565456102235606316343446456655244201612032306025415413335542654634546351500603425240256250214100445042441451331153446460233204321256154540426254621512063623513645060
47, 7.870100, 334255265005161136023122002640302515453654222053601255222354246552520002653415565406102232006316333446426654245006166530062242425213335542050624660151502663425240256250064124325042440251331143646460233201324256154540023323601110432112050306612
48, 6.950100, 334255265005161136023122002640302515453654222053601355222354246552520002653415565406102232006316333446426654245006166530062242425213335542050624660151502663425240256250064124325042440251331143646460464604011252454340420323621513432112053526521
49, 7.250100, 323046626135021030024221000640304515453654322053453336232640105252520042613415326605541655605135121651162300622066036032106060054556560162050624663451502660455241256250224164330562441451631153446460233204321256154540020323601110422153513645060
50, 7.400100, 320342626135321066024121002640302515453654222053601255022354246552520042653413565456102232006316333446412200622051612032306025415413335542654634546351500603425240256250214100445042441451331153446460264604021256154541426254601513432112026345060
51, 9.050100, 334255265135321430024221000640304515453654322053453336232640105252520042613415326604541655605135121651165300622066036032106060054556560162050624663451502660455241256250224164330562441451631153446460233204321256154540020323601110433623513615060
52, 7.600100, 332255266305121036024126006640302515453654262053601235212345105352510002360421506151453541005320161651456154414306036032106060054556560162050624663451502660455241256250224164330562441451631153446460233204321256154540220323101110432112050336201
53, 8.350101, 332255266135321036024424001640302515353054232451453335332142105314400002653415026605541613205330121651612263214342166230216242425213645541650634551351500663424240256250064120645042440451331153446460264604321250154540426223621513432132010126521
54, 9.200100, 334255265005121036024424102640302515453654222053453336232640105252520042613415326605541655605135121651162300311330012025216345425215431542050624660151502663425240256250164124325042440251334143446460233204321256452550426256642110363623513615060
55, 14.150100, 334255265035324036024124002640352515653654324051653365232343105252520302603010326121454531005330161651456153214330012025216345425215431542050624660151502663425240256250164124325042440251331153446160533200321256154201425253601110324502046615066
56, 13.850101, 332255266305321036024124002640352515653654324051653365232343105252520302603010326121454531005330161651456153214330012025216345425214431542050624660151502663425240256250164124325042440251351153446160533200321254154201425253601110324502046615066
